Tên,SKU,Tồn kho,Giá,Danh mục,Thẻ,Thương hiệu,Nổi bật,Ngày
Áo thun thể thao nam Active Dry,SHIRT-001,45,189000,Áo thể thao,"ao-the-thao, tap-gym, thoang-mat",SportX,1,2026-05-06
Áo thể thao nữ Basic Fit,SHIRT-002,38,179000,Áo thể thao,"ao-nu, gym, yoga",ActivePro,0,2026-05-06
Áo chạy bộ QuickRun,SHIRT-003,52,219000,Áo thể thao,"chay-bo, running, dry-fit",RunMax,1,2026-05-06
Áo tank top tập gym PowerFit,SHIRT-004,34,159000,Áo thể thao,"tank-top, gym, tap-luyen",GymCore,0,2026-05-06
Áo polo thể thao Urban Sport,SHIRT-005,29,249000,Áo thể thao,"polo, the-thao, casual",UrbanFit,0,2026-05-06
Áo dài tay thể thao CoolFlex,SHIRT-006,26,269000,Áo thể thao,"ao-dai-tay, outdoor, coolflex",CoolSport,0,2026-05-06
Tạ tay cao su 5kg,TOOL-001,60,199000,Dụng cụ tập luyện,"ta-tay, gym, tap-luyen",GymCore,1,2026-05-06
Dây kháng lực Resistance Band,TOOL-002,80,99000,Dụng cụ tập luyện,"day-khang-luc, gym, yoga",FitHome,1,2026-05-06
Thảm tập yoga chống trượt,TOOL-003,42,239000,Dụng cụ tập luyện,"tham-yoga, yoga, fitness",ZenFit,0,2026-05-06
Bóng tập thể lực Gym Ball,TOOL-004,31,179000,Dụng cụ tập luyện,"gym-ball, core, fitness",FitHome,0,2026-05-06
Dây nhảy tốc độ Speed Rope,TOOL-005,70,89000,Dụng cụ tập luyện,"day-nhay, cardio, boxing",SpeedFit,0,2026-05-06
Con lăn tập bụng AB Roller,TOOL-006,36,149000,Dụng cụ tập luyện,"ab-roller, tap-bung, fitness",GymCore,0,2026-05-06
Giày chạy bộ Runner Pro,SHOE-001,40,699000,Giày thể thao,"giay-chay-bo, running, sneaker",RunMax,1,2026-05-06
Giày sneaker thể thao Basic,SHOE-002,33,549000,Giày thể thao,"sneaker, casual, the-thao",UrbanFit,1,2026-05-06
Giày tập gym Flex Trainer,SHOE-003,28,629000,Giày thể thao,"giay-gym, training, fitness",GymCore,0,2026-05-06
Giày thể thao trắng Street Sport,SHOE-004,25,589000,Giày thể thao,"giay-trang, sneaker, streetwear",StreetFit,0,2026-05-06
Giày chạy bộ Lightweight,SHOE-005,37,749000,Giày thể thao,"lightweight, running, chay-bo",RunMax,0,2026-05-06
Giày đá bóng sân cỏ nhân tạo,SHOE-006,22,499000,Giày thể thao,"giay-da-bong, bong-da, san-co",BallPro,0,2026-05-06
Bình nước thể thao 750ml,ACC-001,95,79000,Phụ kiện thể thao,"binh-nuoc, phu-kien, gym",HydroFit,1,2026-05-06
Túi thể thao du lịch Gym Bag,ACC-002,24,299000,Phụ kiện thể thao,"tui-the-thao, gym-bag, du-lich",SportX,1,2026-05-06
Tất thể thao cổ trung,ACC-003,120,49000,Phụ kiện thể thao,"tat-the-thao, phu-kien, running",ComfortRun,0,2026-05-06
Găng tay tập gym GripFit,ACC-004,58,129000,Phụ kiện thể thao,"gang-tay, gym, tap-luyen",GripFit,0,2026-05-06
Băng cổ tay thể thao,ACC-005,75,59000,Phụ kiện thể thao,"bang-co-tay, tennis, gym",SportX,0,2026-05-06
Mũ lưỡi trai thể thao,ACC-006,44,119000,Phụ kiện thể thao,"mu-the-thao, running, outdoor",RunMax,0,2026-05-06
Quần jogger thể thao nam,PANT-001,41,279000,Quần thể thao,"quan-jogger, nam, the-thao",UrbanFit,1,2026-05-06
Quần short chạy bộ QuickRun,PANT-002,50,199000,Quần thể thao,"quan-short, chay-bo, running",RunMax,1,2026-05-06
Quần legging nữ tập gym,PANT-003,35,259000,Quần thể thao,"legging, gym, yoga",ActivePro,0,2026-05-06
Quần thể thao ống suông CoolMove,PANT-004,27,239000,Quần thể thao,"quan-the-thao, unisex, coolmove",CoolSport,0,2026-05-06
Quần short bóng đá TeamFit,PANT-005,48,169000,Quần thể thao,"quan-bong-da, football, short",BallPro,0,2026-05-06
Quần tập yoga nữ StretchFit,PANT-006,32,229000,Quần thể thao,"yoga, quan-nu, stretch",ZenFit,0,2026-05-06
