Hình ảnh,Tên,SKU,Tồn kho,Giá,Danh mục,Thẻ,Thương hiệu,Nổi bật,Ngày
https://via.placeholder.com/800x800.png?text=SHIRT-001,Áo thun thể thao nam Basic Dry,SHIRT-001,120,149000,Áo thể thao,"áo nam,thoáng mát,tập gym",SportFlex,yes,2026-05-01
https://via.placeholder.com/800x800.png?text=SHIRT-002,Áo thể thao nữ Croptop Training,SHIRT-002,85,179000,Áo thể thao,"áo nữ,gym,yoga",ActivePro,no,2026-05-02
https://via.placeholder.com/800x800.png?text=SHIRT-003,Áo chạy bộ phản quang Quick Run,SHIRT-003,70,199000,Áo thể thao,"chạy bộ,phản quang,nhẹ",RunMate,yes,2026-05-03
https://via.placeholder.com/800x800.png?text=SHIRT-004,Áo bóng đá cổ tròn Team Sport,SHIRT-004,95,159000,Áo thể thao,"bóng đá,đội nhóm,co giãn",SportFlex,no,2026-05-04
https://via.placeholder.com/800x800.png?text=SHIRT-005,Áo tanktop gym nam Muscle Fit,SHIRT-005,60,169000,Áo thể thao,"tanktop,gym,nam",ActivePro,no,2026-05-05
https://via.placeholder.com/800x800.png?text=SHIRT-006,Áo khoác thể thao chống nắng Ultra Light,SHIRT-006,45,249000,Áo thể thao,"áo khoác,chống nắng,ngoài trời",RunMate,yes,2026-05-06
https://via.placeholder.com/800x800.png?text=TOOL-001,Dây kháng lực tập gym 5 mức,TOOL-001,150,129000,Dụng cụ tập luyện,"dây kháng lực,gym,tập tại nhà",FitGear,yes,2026-05-07
https://via.placeholder.com/800x800.png?text=TOOL-002,Thảm tập yoga chống trượt 6mm,TOOL-002,80,219000,Dụng cụ tập luyện,"yoga,thảm tập,chống trượt",FlexFit,yes,2026-05-08
https://via.placeholder.com/800x800.png?text=TOOL-003,Tạ tay bọc cao su 2kg,TOOL-003,100,99000,Dụng cụ tập luyện,"tạ tay,gym,tập luyện",PowerGym,no,2026-05-09
https://via.placeholder.com/800x800.png?text=TOOL-004,Bóng tập gym yoga Balance Ball,TOOL-004,55,189000,Dụng cụ tập luyện,"bóng tập,yoga,balance",FlexFit,no,2026-05-10
https://via.placeholder.com/800x800.png?text=TOOL-005,Con lăn tập bụng Ab Roller,TOOL-005,75,159000,Dụng cụ tập luyện,"tập bụng,ab roller,gym",PowerGym,yes,2026-05-11
https://via.placeholder.com/800x800.png?text=TOOL-006,Dây nhảy thể lực Speed Rope,TOOL-006,130,79000,Dụng cụ tập luyện,"dây nhảy,cardio,fitness",FitGear,no,2026-05-12
https://via.placeholder.com/800x800.png?text=SHOE-001,Giày chạy bộ nam Runner Lite,SHOE-001,50,499000,Giày thể thao,"giày chạy bộ,nam,êm chân",RunnerX,yes,2026-05-13
https://via.placeholder.com/800x800.png?text=SHOE-002,Giày thể thao nữ Daily Move,SHOE-002,65,459000,Giày thể thao,"giày nữ,đi học,đi chơi",StepUp,no,2026-05-14
https://via.placeholder.com/800x800.png?text=SHOE-003,Giày bóng đá sân cỏ nhân tạo Strike TF,SHOE-003,40,549000,Giày thể thao,"bóng đá,sân cỏ,tf",SportFlex,yes,2026-05-15
https://via.placeholder.com/800x800.png?text=SHOE-004,Giày gym training Max Support,SHOE-004,38,599000,Giày thể thao,"gym,training,chắc chân",RunnerX,no,2026-05-16
https://via.placeholder.com/800x800.png?text=SHOE-005,Giày sneaker thể thao trắng Basic,SHOE-005,72,399000,Giày thể thao,"sneaker,trắng,unisex",StepUp,yes,2026-05-17
https://via.placeholder.com/800x800.png?text=SHOE-006,Giày cầu lông Grip Court,SHOE-006,36,529000,Giày thể thao,"cầu lông,indoor,bám sân",SportFlex,no,2026-05-18
https://via.placeholder.com/800x800.png?text=ACC-001,Bình nước thể thao 750ml,ACC-001,200,69000,Phụ kiện thể thao,"bình nước,gym,chạy bộ",HydroRun,yes,2026-05-19
https://via.placeholder.com/800x800.png?text=ACC-002,Tất thể thao cổ trung thoáng khí,ACC-002,180,49000,Phụ kiện thể thao,"tất thể thao,thoáng khí,unisex",ActivePro,no,2026-05-20
https://via.placeholder.com/800x800.png?text=ACC-003,Băng đô thể thao thấm mồ hôi,ACC-003,110,39000,Phụ kiện thể thao,"băng đô,chạy bộ,gym",FitGear,no,2026-05-21
https://via.placeholder.com/800x800.png?text=ACC-004,Túi đeo chéo thể thao mini,ACC-004,70,149000,Phụ kiện thể thao,"túi thể thao,đeo chéo,nhẹ",ActivePro,yes,2026-05-22
https://via.placeholder.com/800x800.png?text=ACC-005,Găng tay tập gym chống trượt,ACC-005,90,99000,Phụ kiện thể thao,"găng tay,gym,chống trượt",FitGear,no,2026-05-23
https://via.placeholder.com/800x800.png?text=ACC-006,Mũ lưỡi trai thể thao chống nắng,ACC-006,85,89000,Phụ kiện thể thao,"mũ thể thao,chống nắng,ngoài trời",HydroRun,no,2026-05-24
https://via.placeholder.com/800x800.png?text=PANT-001,Quần short thể thao nam Basic,PANT-001,100,139000,Quần thể thao,"quần short,nam,gym",SportFlex,yes,2026-05-25
https://via.placeholder.com/800x800.png?text=PANT-002,Quần legging nữ tập gym High Waist,PANT-002,70,199000,Quần thể thao,"legging,nữ,gym,yoga",ActivePro,yes,2026-05-26
https://via.placeholder.com/800x800.png?text=PANT-003,Quần jogger thể thao unisex,PANT-003,60,239000,Quần thể thao,"jogger,unisex,đi học",RunMate,no,2026-05-27
